(41996,one-off)
(14516,monthly,3 year (s))
(25119,yearly,5 year (s))
(46075,monthly,2 year (s))
(54727,one-off)
(32029,yearly,24 year (s))
(56179,yearly,16 year (s))
(11943,monthly,2 year (s))
(54298,monthly,2 year (s))
(7594,one-off)
(39899,yearly,19 year (s))
(22178,yearly,28 year (s))
(36216,monthly,1 year (s))
(18072,yearly,15 year (s))
(20454,yearly,23 year (s))
(43512,yearly,21 year (s))
(9246,monthly,1 year (s))
(15162,daily,17day (s))
(37028,yearly,12 year (s))
(23198,monthly,6 year (s))
(31795,monthly,2 year (s))
(45336,monthly,5 year (s))
(51946,one-off)
(49806,one-off)
(47923,one-off)
(37272,daily,13day (s))
(54055,monthly,1 year (s))
(49682,one-off)
(18090,yearly,17 year (s))
(31556,monthly,3 year (s))
(55380,daily,13day (s))
(55862,monthly,8 month (s))
(52884,daily,1 month (s))
(18664,one-off)
(46793,monthly,4 year (s))
(38539,monthly,5 year (s))
(29069,daily,1 month (s))
(38718,yearly,31 year (s))
(51409,daily,5day (s))
(31482,monthly,6 month (s))
(57673,monthly,5 year (s))
(24475,one-off)
(48956,yearly,18 year (s))
(38311,daily,23day (s))
(51020,daily,1 month (s))
(26961,daily,6day (s))
(26851,yearly,22 year (s))
(35485,yearly,13 year (s))
(57299,one-off)
(8901,yearly,21 year (s))
(24615,yearly,23 year (s))
(17753,monthly,3 year (s))
(47505,daily,1 month (s))
(14537,yearly,17 year (s))
(47007,monthly,7 year (s))
(43195,daily,1 month (s))
(8206,yearly,22 year (s))
(25220,yearly,33 year (s))
(36338,yearly,4 year (s))
(41913,monthly,3 year (s))
(54325,daily,10day (s))
(39492,monthly,2 month (s))
(20000,yearly,16 year (s))
(12085,one-off)
(36715,yearly,14 year (s))
(24178,one-off)
(55366,daily,1 month (s))
(39511,yearly,24 year (s))
(13559,yearly,12 year (s))
(50894,one-off)
(48055,daily,1 month (s))
(36446,daily,1 month (s))
(55043,yearly,14 year (s))
(4241,yearly,10 year (s))
(27699,monthly,8 month (s))
(43160,one-off)
(47402,daily,26day (s))
(47275,yearly,28 year (s))
(4552,daily,26day (s))
(46653,one-off)
(32844,yearly,22 year (s))
(46990,one-off)
(42726,daily,1 month (s))
(52900,monthly,7 year (s))
(27514,one-off)
(25032,daily,1 month (s))
(41557,yearly,45 year (s))
(56283,yearly,10 year (s))
(47483,monthly,1 year (s))
(39747,one-off)
(36359,daily,1 month (s))
(16751,monthly,4 year (s))
(33120,yearly,10 year (s))
(34215,yearly,30 year (s))
(23543,daily,1 month (s))
(56511,monthly,4 year (s))
(45011,one-off)
(11144,yearly,9 year (s))
(48275,monthly,5 year (s))
(49393,monthly,4 year (s))
(30776,one-off)
(23152,monthly,7 year (s))
(15461,one-off)
(23999,monthly,6 year (s))
(48169,yearly,39 year (s))
(31977,daily,1 month (s))
(55635,yearly,25 year (s))
(11487,monthly,5 year (s))
(42273,monthly,7 year (s))
(4198,one-off)
(18152,yearly,2 year (s))
(29676,yearly,35 year (s))
(50239,yearly,14 year (s))
(33050,monthly,6 year (s))
(4288,daily,1 month (s))
(47548,daily,1 month (s))
(9379,yearly,29 year (s))
(45358,monthly,0 year (s))
(6094,one-off)
(20624,yearly,1 year (s))
(27452,daily,1 month (s))
(37190,one-off)
(48924,monthly,6 year (s))
(21403,daily,1 month (s))
(23520,yearly,30 year (s))
(17116,one-off)
(44817,yearly,24 year (s))
(55961,yearly,12 year (s))
(44729,one-off)
(32007,yearly,24 year (s))
(3385,yearly,18 year (s))
(18675,yearly,34 year (s))
(24368,yearly,5 year (s))
(34809,yearly,7 year (s))
(52106,one-off)
(23884,one-off)
(9910,yearly,23 year (s))
(30732,yearly,3 year (s))
(31543,yearly,26 year (s))
(29153,yearly,34 year (s))
(34547,one-off)
(53199,daily,14day (s))
(17059,monthly,4 year (s))
(11279,daily,5day (s))
(21128,monthly,2 year (s))
(57797,yearly,8 year (s))
(47254,yearly,3 year (s))
(34139,daily,21day (s))
(14595,daily,1 month (s))
(35369,monthly,2 year (s))
(24543,monthly,2 year (s))
(17466,yearly,38 year (s))
(54205,one-off)
(45719,monthly,5 year (s))
(41041,yearly,6 year (s))
(56908,monthly,6 year (s))
(48475,daily,13day (s))
(37483,yearly,40 year (s))
(42888,yearly,9 year (s))
(42569,monthly,2 year (s))
(17988,monthly,4 year (s))
(52761,yearly,12 year (s))
(52773,monthly,6 year (s))
(40224,one-off)
(52122,daily,13day (s))
(20687,yearly,6 year (s))
(3554,monthly,1 year (s))
(41413,yearly,25 year (s))
(26028,daily,1 month (s))
(8470,monthly,1 year (s))
(35748,one-off)
(4446,monthly,6 year (s))
(45480,yearly,39 year (s))
(8575,one-off)
(11527,monthly,4 year (s))
(58354,daily,1 month (s))
(55875,one-off)
(35231,yearly,14 year (s))
(24209,monthly,5 year (s))
(4236,monthly,4 year (s))
(27407,daily,3day (s))
(15383,monthly,3 month (s))
(10414,monthly,5 year (s))
(48844,yearly,3 year (s))
(52062,monthly,2 year (s))
(35869,yearly,4 year (s))
(54538,yearly,12 year (s))
(15099,yearly,18 year (s))
(32891,daily,1 month (s))
(49083,yearly,18 year (s))
(30792,yearly,3 year (s))
(43872,monthly,7 year (s))
(39033,yearly,15 year (s))
(44519,monthly,2 year (s))
(25848,monthly,4 year (s))
(44354,one-off)
(31754,yearly,16 year (s))
(24293,yearly,11 year (s))
(43315,monthly,6 year (s))
(34291,monthly,2 year (s))
(8250,monthly,6 year (s))
(13316,daily,22day (s))
(43718,one-off)
(35245,monthly,7 year (s))
(46619,monthly,4 year (s))
(16130,monthly,3 year (s))
(40625,one-off)
(37480,monthly,3 month (s))
(25704,one-off)
(23839,one-off)
(10871,yearly,18 year (s))
(43337,yearly,14 year (s))
(56026,daily,1 month (s))
(32421,daily,9day (s))
(57343,daily,1 month (s))
(55336,monthly,4 year (s))
(25722,yearly,3 year (s))
(18276,monthly,3 year (s))
(50241,daily,1 month (s))
(4923,one-off)
(13948,one-off)
(37181,monthly,6 year (s))
(39436,daily,1 month (s))
(9880,daily,4day (s))
(55902,monthly,1 year (s))
(10802,yearly,11 year (s))
(19025,monthly,2 year (s))
(58238,daily,1 month (s))
(19449,one-off)
(13051,monthly,3 year (s))
(18671,daily,1 month (s))
(32286,yearly,18 year (s))
(52690,monthly,5 year (s))
(29809,yearly,3 year (s))
(55769,one-off)
(32651,one-off)
(51696,yearly,8 year (s))
(20344,yearly,26 year (s))
(24879,one-off)
(16046,yearly,46 year (s))
(50141,monthly,6 year (s))
(11093,yearly,15 year (s))
(32062,yearly,14 year (s))
(57965,yearly,19 year (s))
(17855,yearly,15 year (s))
(52813,yearly,34 year (s))
(38253,daily,7day (s))
(50144,daily,12day (s))
(41216,daily,6day (s))
(10382,one-off)
(38073,yearly,23 year (s))
(36101,yearly,33 year (s))
(12066,monthly,7 year (s))
(37448,daily,6day (s))
(39451,daily,1 month (s))
(20276,daily,1 month (s))
(38152,monthly,6 year (s))
(3412,daily,1 month (s))
(14680,monthly,5 year (s))
(17906,one-off)
(58029,one-off)
(52652,one-off)
(40353,yearly,9 year (s))
(47434,monthly,4 year (s))
(54945,daily,0 month (s))
(24045,monthly,4 year (s))
(11292,daily,8day (s))
(17456,yearly,11 year (s))
(54947,monthly,1 year (s))
(40093,yearly,6 year (s))
(32544,monthly,6 year (s))
(5555,yearly,2 year (s))
(48563,yearly,34 year (s))
(43109,daily,1 month (s))
(21974,monthly,4 year (s))
(17442,one-off)
(31155,yearly,39 year (s))
(15412,daily,0 month (s))
(5186,daily,7day (s))
(43232,monthly,6 year (s))
(15959,monthly,5 year (s))
(8259,monthly,6 year (s))
(6945,monthly,9 month (s))
(12471,monthly,5 year (s))
(50971,yearly,11 year (s))
(7463,yearly,8 year (s))
(56136,daily,14day (s))
(15821,one-off)
(47729,monthly,2 year (s))
(51197,yearly,4 year (s))
(33360,monthly,4 year (s))
(53916,monthly,6 year (s))
(23904,monthly,2 year (s))
(57051,one-off)
(34389,daily,7day (s))
(31716,daily,22day (s))
(13623,yearly,31 year (s))
(48361,yearly,25 year (s))
(25120,daily,1 month (s))
(19652,monthly,5 year (s))
(10866,daily,1 month (s))
(40929,yearly,22 year (s))
(56047,one-off)
(8857,daily,22day (s))
(31181,yearly,29 year (s))
(30246,one-off)
(13789,monthly,7 year (s))
(44146,yearly,29 year (s))
(50115,daily,1 month (s))
(13266,yearly,18 year (s))
(27860,yearly,27 year (s))
(14901,daily,1 month (s))
(9981,one-off)
(38688,yearly,2 year (s))
(27374,yearly,38 year (s))
(14441,one-off)
(10113,yearly,6 year (s))
(49603,daily,22day (s))
(48683,yearly,17 year (s))
(12477,yearly,30 year (s))
(47522,yearly,34 year (s))
(27053,monthly,2 year (s))
(21077,monthly,1 year (s))
(11380,daily,24day (s))
(10845,one-off)
(57271,monthly,6 year (s))
(47085,yearly,6 year (s))
(21256,daily,22day (s))
(39484,daily,1 month (s))
(49516,daily,7day (s))
(44516,daily,1 month (s))
(31801,one-off)
(54083,monthly,3 year (s))
(39441,one-off)
(19079,one-off)
(56352,yearly,12 year (s))
(47216,yearly,27 year (s))
(53034,yearly,39 year (s))
(15851,yearly,13 year (s))
(47163,yearly,6 year (s))
(42394,monthly,9 month (s))
(20982,daily,21day (s))
(18623,one-off)
(32362,yearly,18 year (s))
(35698,monthly,1 year (s))
(47172,monthly,5 year (s))
(41097,daily,1 month (s))
(39256,yearly,32 year (s))
(53248,daily,7day (s))
(5592,monthly,5 year (s))
(7200,yearly,37 year (s))
(32200,one-off)
(47158,monthly,1 year (s))
(9939,monthly,3 year (s))
(40839,daily,1 month (s))
(51100,monthly,6 year (s))
(16537,daily,1 month (s))
(33547,yearly,1 year (s))
(32034,yearly,10 year (s))
(44978,yearly,31 year (s))
(23805,daily,4day (s))
(47389,yearly,1 year (s))
(25457,one-off)
(47757,yearly,5 year (s))
(57442,daily,0 month (s))
(55679,yearly,5 year (s))
(57107,yearly,6 year (s))
(10671,daily,0 month (s))
(40810,monthly,3 year (s))
(57523,monthly,3 year (s))
(14816,yearly,5 year (s))
(55523,monthly,4 year (s))
(57964,monthly,7 year (s))
(16625,yearly,3 year (s))
(49894,yearly,34 year (s))
(40943,yearly,5 year (s))
(38199,one-off)
(35902,monthly,1 year (s))
(11929,one-off)
(57139,yearly,5 year (s))
(9749,monthly,1 year (s))
(34842,yearly,3 year (s))
(29002,daily,16day (s))
(41193,yearly,24 year (s))
(19410,one-off)
(55687,monthly,5 year (s))
(17463,daily,26day (s))
(33026,monthly,3 year (s))
(3874,daily,26day (s))
(52333,yearly,17 year (s))
(25161,daily,1 month (s))
(54839,one-off)
(3479,yearly,5 year (s))
(24691,yearly,5 year (s))
(53967,monthly,4 year (s))
(6402,one-off)
(9040,yearly,32 year (s))
(14678,one-off)
(45491,daily,1 month (s))
(27542,monthly,6 year (s))
(57427,one-off)
(20179,daily,23day (s))
(57381,monthly,1 year (s))
(49865,yearly,21 year (s))
(4607,one-off)
(30089,daily,15day (s))
(53258,one-off)
(16845,one-off)
(15730,monthly,3 year (s))
(51247,yearly,29 year (s))
(5583,yearly,10 year (s))
(31902,yearly,23 year (s))
(21848,one-off)
(46173,yearly,19 year (s))
(13028,monthly,7 year (s))
(30994,monthly,5 year (s))
(34268,yearly,17 year (s))
(30588,daily,8day (s))
(9858,monthly,6 year (s))
(27500,yearly,36 year (s))
(31024,monthly,4 year (s))
(54171,daily,9day (s))
(39534,daily,8day (s))
(9990,monthly,1 year (s))
(25400,yearly,14 year (s))
(50440,daily,1 month (s))
(20322,yearly,27 year (s))
(29869,one-off)
(53608,monthly,7 year (s))
(26162,one-off)
(55716,yearly,7 year (s))
(11443,one-off)
(3314,monthly,2 year (s))
(34158,yearly,4 year (s))
(20837,one-off)
(28203,one-off)
(46727,yearly,4 year (s))
(15140,daily,8day (s))
(30917,monthly,2 year (s))
(28942,yearly,4 month (s))
(7424,yearly,18 year (s))
(39094,yearly,34 year (s))
(28838,monthly,3 year (s))
(27507,daily,14day (s))
(4447,monthly,6 year (s))
(53326,daily,1 month (s))
(25708,daily,20day (s))
(35471,monthly,6 year (s))
(31984,one-off)
(13170,yearly,26 year (s))
(34479,monthly,1 year (s))
(37883,monthly,6 year (s))
(33867,yearly,33 year (s))
(29489,daily,1 month (s))
(10647,monthly,3 year (s))
(7862,yearly,23 year (s))
(24704,daily,24day (s))
(38450,daily,10day (s))
(55884,monthly,6 year (s))
(45825,monthly,9 month (s))
(36503,monthly,3 year (s))
(5837,one-off)
(43707,yearly,1 year (s))
(23318,yearly,9 year (s))
(17209,monthly,5 year (s))
(39357,daily,1 month (s))
(57452,monthly,6 year (s))
(19550,yearly,5 year (s))
(6334,yearly,1 year (s))
(22825,yearly,10 year (s))
(25108,daily,1 month (s))
(44622,one-off)
(27554,daily,1 month (s))
(32953,daily,9day (s))
(12915,daily,1 month (s))
(16400,one-off)
(14793,yearly,5 year (s))
(28040,yearly,24 year (s))
(45826,monthly,5 year (s))
(46020,one-off)
(29880,daily,26day (s))
(48633,daily,8day (s))
(53596,daily,10day (s))
(23345,one-off)
(30040,one-off)
(7717,monthly,6 year (s))
(7423,one-off)
(55843,monthly,4 year (s))
(3513,yearly,12 year (s))
(34369,one-off)
(50902,daily,6day (s))
(17409,yearly,13 year (s))
(19693,daily,11day (s))
(21448,yearly,32 year (s))
(19246,daily,1 month (s))
(57348,monthly,1 year (s))
(37499,daily,1 month (s))
(5041,monthly,5 year (s))
(13682,daily,10day (s))
(15388,yearly,17 year (s))
(20869,monthly,1 year (s))
(46590,monthly,6 year (s))
(46200,yearly,9 year (s))
(37952,yearly,43 year (s))
(7184,yearly,23 year (s))
(49536,monthly,1 year (s))
(51221,monthly,7 year (s))
(56400,yearly,28 year (s))
(15343,yearly,26 year (s))
(32193,yearly,5 year (s))
(4258,daily,1 month (s))
(12138,yearly,12 year (s))
(10951,yearly,1 year (s))
(25492,monthly,7 year (s))
(18756,monthly,6 year (s))
(13104,daily,1 month (s))
(3217,monthly,6 year (s))
(8031,monthly,1 year (s))
(30884,yearly,31 year (s))
(48519,one-off)
(18687,daily,15day (s))
(40479,yearly,13 year (s))
(42420,daily,6day (s))
(26508,one-off)
(57939,daily,16day (s))
(40164,one-off)
(8345,monthly,3 year (s))
(46025,monthly,1 year (s))
(43436,one-off)
(57437,one-off)
(24699,monthly,2 year (s))
(43721,yearly,26 year (s))
(26439,yearly,13 year (s))
(20681,one-off)
(22236,yearly,22 year (s))
(14121,yearly,14 year (s))
(14484,one-off)
(45591,monthly,5 year (s))
(57528,yearly,12 year (s))
(46997,one-off)
(23148,daily,3day (s))
(21428,one-off)
(53278,yearly,37 year (s))
(16020,one-off)
(43296,daily,9day (s))
(24800,monthly,1 year (s))
(19327,daily,1 month (s))
(7664,monthly,5 year (s))
(41354,daily,1 month (s))
(9319,yearly,11 year (s))
(8832,monthly,4 year (s))
(34938,monthly,2 year (s))
(37462,daily,10day (s))
(5105,monthly,5 year (s))
(22294,yearly,34 year (s))
(17959,monthly,4 year (s))
(34020,one-off)
(55646,monthly,5 year (s))
(32833,yearly,15 year (s))
(44428,daily,9day (s))
(23107,yearly,20 year (s))
(29390,yearly,19 year (s))
(4683,monthly,7 year (s))
(22243,monthly,5 month (s))
(57134,daily,18day (s))
(49221,monthly,6 year (s))
(3504,one-off)
(44252,monthly,2 year (s))
(55363,daily,8day (s))
(33504,yearly,19 year (s))
(5598,yearly,21 year (s))
(24068,yearly,17 year (s))
(30544,yearly,34 year (s))
(46578,yearly,9 year (s))
(27601,monthly,2 year (s))
(43431,yearly,16 year (s))
(29043,yearly,13 year (s))
(34705,monthly,4 year (s))
(30303,yearly,23 year (s))
(24884,monthly,3 year (s))
(47219,one-off)
(7898,yearly,26 year (s))
(12685,yearly,24 year (s))
(33439,monthly,5 year (s))
(19200,monthly,4 year (s))
(35861,monthly,3 year (s))
(38501,yearly,9 year (s))
(23652,one-off)
(9925,yearly,11 year (s))
(25192,yearly,6 year (s))
(35587,yearly,32 year (s))
(33354,one-off)
(20055,monthly,3 year (s))
(20309,one-off)
(11990,monthly,1 year (s))
(47194,one-off)
(40355,monthly,1 year (s))
(20183,yearly,11 year (s))
(32823,one-off)
(18231,monthly,6 year (s))
(17488,yearly,26 year (s))
(12079,monthly,6 year (s))
(39632,daily,8day (s))
(48367,daily,1 month (s))
(10239,yearly,27 year (s))
(32086,yearly,22 year (s))
(19570,yearly,37 year (s))
(52302,yearly,7 year (s))
(45115,yearly,3 year (s))
(7336,one-off)
(22380,yearly,6 year (s))
(53376,monthly,4 year (s))
(10650,yearly,29 year (s))
(32174,monthly,5 year (s))
(39214,daily,1 month (s))
(56304,yearly,11 year (s))
(16354,one-off)
(49507,daily,7day (s))
(21066,monthly,2 year (s))
(26510,one-off)
(15723,one-off)
(47611,daily,1 month (s))
(9571,one-off)
(53026,daily,1 month (s))
(52539,yearly,18 year (s))
(46673,one-off)
(8213,one-off)
(9132,yearly,5 year (s))
(24406,monthly,6 month (s))
(3488,one-off)
(46406,one-off)
(57444,daily,1 month (s))
(42439,one-off)
(44414,one-off)
(7193,monthly,0 year (s))
(7719,daily,1 month (s))
(38705,monthly,3 year (s))
(21240,daily,1 month (s))
(18409,monthly,5 year (s))
(25648,one-off)
(32453,yearly,41 year (s))
(33759,monthly,4 year (s))
(39524,yearly,40 year (s))
(45807,yearly,14 year (s))
(21489,yearly,23 year (s))
(54739,monthly,3 year (s))
(23431,yearly,6 year (s))
(21587,monthly,1 year (s))
(4797,monthly,6 year (s))
(54231,yearly,14 year (s))
(9684,monthly,3 year (s))
(12446,monthly,6 year (s))
(23106,monthly,5 year (s))
(48193,monthly,2 year (s))
(5245,monthly,4 month (s))
(51090,daily,1 month (s))
(18223,monthly,6 year (s))
(45651,monthly,5 year (s))
(25727,daily,17day (s))
(22966,monthly,4 year (s))
(43177,yearly,30 year (s))
(37699,one-off)
(54132,daily,1 month (s))
(9838,monthly,2 year (s))
(30720,daily,0 month (s))
(44809,daily,16day (s))
(16312,one-off)
(33582,one-off)
(21542,monthly,7 year (s))
(56109,yearly,19 year (s))
(49822,yearly,1 year (s))
(27423,yearly,40 year (s))
(43674,daily,0 month (s))
(12666,daily,10day (s))
(49481,monthly,1 year (s))
(54143,daily,0 month (s))
(37043,daily,26day (s))
(46343,yearly,3 year (s))
(28658,one-off)
(35069,monthly,3 year (s))
(35161,daily,16day (s))
(21297,one-off)
(29597,yearly,9 year (s))
(4850,monthly,6 year (s))
(50148,monthly,5 year (s))
(25168,yearly,21 year (s))
(36697,monthly,5 year (s))
(7990,yearly,17 year (s))
(38727,monthly,4 month (s))
(51892,one-off)
(24200,daily,1 month (s))
(19679,monthly,5 year (s))
(38607,daily,1 month (s))
(10098,one-off)
(18030,monthly,9 month (s))
(20577,monthly,2 year (s))
(12341,daily,10day (s))
(27347,yearly,4 year (s))
(19537,yearly,4 year (s))
(53708,one-off)
(10352,daily,7day (s))
(45975,yearly,3 year (s))
(46262,monthly,4 year (s))
(42651,one-off)
(56563,yearly,6 year (s))
(16972,daily,1 month (s))
(25630,daily,4day (s))
(41191,yearly,21 year (s))
(28034,yearly,4 year (s))
(3350,yearly,10 year (s))
(20397,yearly,6 year (s))
(26006,yearly,5 year (s))
(28608,yearly,28 year (s))
(22545,daily,0 month (s))
(57991,yearly,7 year (s))
(10462,monthly,6 year (s))
(35813,yearly,32 year (s))
(23480,daily,1 month (s))
(24844,yearly,3 month (s))
(29789,one-off)
(33793,one-off)
(14372,monthly,4 year (s))
(34055,yearly,13 year (s))
(9817,one-off)
(42782,monthly,3 year (s))
(4526,yearly,14 year (s))
(53252,daily,21day (s))
(25017,daily,1 month (s))
(42912,yearly,17 year (s))
(7031,daily,21day (s))
(42668,one-off)
(52359,yearly,5 year (s))
(22141,monthly,1 year (s))
(17665,daily,15day (s))
(5113,daily,24day (s))
(56070,monthly,0 year (s))
(41825,daily,1 month (s))
(8410,yearly,36 year (s))
(24632,one-off)
(28366,yearly,5 year (s))
(34222,monthly,6 year (s))
(14633,monthly,6 year (s))
(30232,daily,1 month (s))
(50149,one-off)
(16623,daily,1 month (s))
(21952,yearly,36 year (s))
(31879,monthly,3 year (s))
(7727,yearly,20 year (s))
(21160,monthly,6 month (s))
(37115,monthly,5 year (s))
(36361,yearly,31 year (s))
(4064,one-off)
(23823,monthly,3 year (s))
(27995,monthly,5 year (s))
(37815,daily,4day (s))
(10035,daily,1 month (s))
(57930,daily,1 month (s))
(51755,yearly,23 year (s))
(42466,yearly,26 year (s))
(18829,daily,17day (s))
(49373,monthly,5 year (s))
(4237,daily,22day (s))
(39203,yearly,5 year (s))
(16418,monthly,6 year (s))
(34260,monthly,1 year (s))
(25598,daily,0 month (s))
(9162,yearly,6 year (s))
(3571,monthly,2 year (s))
(34416,daily,11day (s))
(22935,one-off)
(3960,yearly,20 year (s))
(51217,monthly,2 year (s))
(42961,yearly,23 year (s))
(20823,yearly,3 year (s))
(35620,yearly,38 year (s))
(22958,yearly,11 year (s))
(17444,daily,18day (s))
(23577,one-off)
(56542,yearly,9 year (s))
(34616,one-off)
(43582,yearly,30 year (s))
(39309,yearly,13 year (s))
(15078,yearly,25 year (s))
(40753,yearly,16 year (s))
(34429,one-off)
(20619,monthly,7 year (s))
(12362,yearly,23 year (s))
(9843,monthly,1 year (s))
(11859,yearly,5 month (s))
(36255,yearly,7 year (s))
(57312,yearly,5 year (s))
(56841,one-off)
(4725,daily,1 month (s))
(33494,yearly,11 year (s))
(19577,monthly,4 year (s))
(38609,yearly,0 year (s))
(42427,yearly,3 year (s))
(51674,one-off)
(31908,yearly,41 year (s))
(39464,daily,17day (s))
(16440,yearly,37 year (s))
(40783,daily,26day (s))
(44210,yearly,8 year (s))
(4138,monthly,2 year (s))
(40803,one-off)
(9285,yearly,3 year (s))
(5611,yearly,29 year (s))
(54959,yearly,24 year (s))
(33152,monthly,3 year (s))
(4595,yearly,2 year (s))
(9914,yearly,31 year (s))
(44992,daily,1 month (s))
(50258,yearly,10 year (s))
(36816,monthly,4 year (s))
(7953,yearly,16 year (s))
(36855,yearly,19 year (s))
(19092,yearly,18 year (s))
(50799,one-off)
(55821,daily,23day (s))
(21883,yearly,10 year (s))
(5570,yearly,18 year (s))
(30627,one-off)
(38951,one-off)
(35427,monthly,1 year (s))
(47131,daily,1 month (s))
(53187,yearly,21 year (s))
(23234,one-off)
(15799,one-off)
(3984,yearly,27 year (s))
(29533,monthly,2 year (s))
(45913,yearly,30 year (s))
(29045,yearly,33 year (s))
(30556,daily,1 month (s))
(47133,monthly,4 month (s))
(50363,daily,1 month (s))
(9576,daily,1 month (s))
(26494,yearly,10 year (s))
(51542,daily,25day (s))
(34284,one-off)
(31609,daily,6day (s))
(26372,yearly,14 year (s))
(25838,one-off)
(53381,monthly,1 year (s))
(52303,daily,1 month (s))
(52576,daily,5day (s))
(48797,daily,9day (s))
(25467,yearly,19 year (s))
(11921,monthly,5 year (s))
(16361,daily,1 month (s))
(20456,yearly,6 year (s))
(54714,yearly,3 year (s))
(55980,yearly,4 year (s))
(32946,yearly,21 year (s))
(24048,yearly,7 year (s))
(36311,yearly,38 year (s))
(23676,yearly,15 year (s))
(51595,yearly,2 year (s))
(6518,yearly,11 year (s))
(52694,yearly,31 year (s))
(39745,monthly,0 year (s))
(21742,yearly,25 year (s))
(41582,daily,0 month (s))
(6082,yearly,45 year (s))
(35868,daily,1 month (s))
(39160,monthly,6 year (s))
(22396,yearly,18 year (s))
(17241,yearly,30 year (s))
(51162,monthly,5 year (s))
(12910,daily,1 month (s))
(37786,one-off)
(38852,daily,15day (s))
(56029,daily,1 month (s))
(39382,monthly,5 year (s))
(27632,yearly,4 year (s))
(12516,daily,18day (s))
(9968,daily,1 month (s))
(47859,yearly,15 year (s))
(32292,monthly,1 year (s))
(35144,daily,1 month (s))
(33159,daily,17day (s))
(22826,daily,7day (s))
(7955,one-off)
(42736,yearly,25 year (s))
(47970,daily,14day (s))
(46311,yearly,8 year (s))
(40332,daily,25day (s))
(9701,one-off)
(18570,monthly,1 year (s))
(9121,yearly,19 year (s))
(43022,yearly,40 year (s))
(27358,monthly,2 year (s))
(29505,one-off)
(31390,daily,1 month (s))
(52460,one-off)
(32127,yearly,5 year (s))
(5023,yearly,40 year (s))
(47788,daily,1 month (s))
(33605,yearly,16 year (s))
(53845,yearly,39 year (s))
(55370,yearly,13 year (s))
(54921,monthly,1 year (s))
(32570,yearly,22 year (s))
(52178,monthly,0 year (s))
(40381,one-off)
(45617,monthly,5 month (s))
(22132,one-off)
(46344,monthly,4 year (s))
(55298,yearly,2 year (s))
(56215,yearly,21 year (s))
(39535,monthly,0 year (s))
(10284,yearly,32 year (s))
(43869,daily,1 month (s))
(26091,daily,3day (s))
(45994,daily,1 month (s))
(11112,daily,23day (s))
(49554,yearly,12 year (s))
(35925,yearly,19 year (s))
(35799,yearly,4 year (s))
(46530,monthly,4 month (s))
(57196,yearly,8 year (s))
(28501,monthly,2 year (s))
(52391,daily,1 month (s))
(34393,one-off)
(19286,yearly,19 year (s))
(22008,daily,8day (s))
(46402,one-off)
(44217,one-off)
(11388,monthly,3 year (s))
(57872,one-off)
(31009,monthly,3 year (s))
(8116,yearly,3 year (s))
(24614,one-off)
(41602,monthly,6 year (s))
(46418,monthly,7 year (s))
(47046,monthly,5 year (s))
(33947,one-off)
(25592,monthly,5 year (s))
(39736,daily,19day (s))
(37225,daily,14day (s))
(36119,yearly,20 year (s))
(15979,daily,1 month (s))
(46297,daily,1 month (s))
(49040,monthly,4 year (s))
(55009,monthly,6 year (s))
(39945,monthly,2 year (s))
(29904,yearly,15 year (s))
(12874,one-off)
(8347,daily,11day (s))
(40494,monthly,6 year (s))
(9683,yearly,6 year (s))
(4415,yearly,12 year (s))
(52910,monthly,4 year (s))
(55384,monthly,1 year (s))
(5853,yearly,21 year (s))
(16011,yearly,6 year (s))
(7685,one-off)
(17922,one-off)
(9018,yearly,8 year (s))
(12154,yearly,23 year (s))
(55698,monthly,5 year (s))
(34577,yearly,29 year (s))
(58363,one-off)
(26215,monthly,2 year (s))
(42071,monthly,1 year (s))
(12096,yearly,38 year (s))
(9750,monthly,2 year (s))
(52029,yearly,3 year (s))
(55022,daily,1 month (s))
(24290,daily,20day (s))
(41894,daily,1 month (s))
(44009,daily,1 month (s))
(9722,daily,1 month (s))
(53005,one-off)
(21094,one-off)
(50274,yearly,26 year (s))
(40197,yearly,17 year (s))
(34357,yearly,32 year (s))
(10696,monthly,6 year (s))
(8778,daily,1 month (s))
(10660,monthly,1 year (s))
(51269,daily,18day (s))
(24503,daily,1 month (s))
(45449,monthly,2 year (s))
(11359,daily,1 month (s))
(11952,yearly,29 year (s))
(28723,daily,19day (s))
(57234,yearly,5 year (s))
(32524,monthly,1 year (s))
(49859,yearly,7 year (s))
(58327,monthly,6 year (s))
(48572,one-off)
(43957,daily,19day (s))
(3796,monthly,8 month (s))
(4565,daily,0 month (s))
(11902,daily,0 month (s))
(30747,monthly,4 year (s))
(51420,daily,1 month (s))
(13757,daily,1 month (s))
(39531,daily,1 month (s))
(16541,one-off)
(4688,monthly,3 year (s))
(38119,one-off)
(54684,one-off)
(56706,one-off)
(17705,monthly,4 year (s))
(46873,one-off)
(45667,monthly,4 year (s))
(52850,monthly,5 year (s))
(26391,daily,1 month (s))
(36236,daily,10day (s))
(21513,yearly,3 year (s))
(48384,daily,14day (s))
(41792,monthly,5 year (s))
(40426,yearly,28 year (s))
(55219,daily,17day (s))
(25159,yearly,44 year (s))
(9489,daily,15day (s))
(38546,yearly,6 year (s))
(45204,yearly,36 year (s))
(27101,one-off)
(18219,yearly,18 year (s))
(30219,yearly,24 year (s))
(36580,monthly,4 year (s))
(57994,daily,1 month (s))
(32123,one-off)
